City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Cape Town,ZA,-33.9258,18.4232,69.35,63,34,3.42,scattered clouds,2022-01-16 21:55:07
1,Ponta Do Sol,PT,32.6667,-17.1,65.03,62,84,18.48,broken clouds,2022-01-16 21:51:53
2,Norman Wells,CA,65.282,-126.8329,-25.56,68,20,0.0,few clouds,2022-01-16 21:56:32
3,Bubaque,GW,11.2833,-15.8333,78.55,82,99,12.37,overcast clouds,2022-01-16 21:49:39
4,Vaini,TO,-21.2,-175.2,80.11,82,30,12.88,scattered clouds,2022-01-16 21:56:32
5,Strezhevoy,RU,60.7333,77.5889,19.38,94,100,19.39,light snow,2022-01-16 21:56:33
6,Teya,RU,60.3778,92.6267,-7.24,100,99,2.68,overcast clouds,2022-01-16 21:56:33
7,Butaritari,KI,3.0707,172.7902,82.38,77,35,16.64,scattered clouds,2022-01-16 21:56:33
8,Kaitangata,NZ,-46.2817,169.8464,68.65,57,98,2.21,overcast clouds,2022-01-16 21:56:33
9,Stornoway,GB,58.2093,-6.3865,46.92,88,100,8.01,overcast clouds,2022-01-16 21:56:34
10,Issoire,FR,45.55,3.25,25.86,73,6,0.96,clear sky,2022-01-16 21:56:34
11,Kroya,ID,-7.6331,109.2461,76.87,88,41,3.06,scattered clouds,2022-01-16 21:56:34
12,Puerto Ayora,EC,-0.7393,-90.3518,84.16,78,100,10.6,overcast clouds,2022-01-16 21:56:35
13,Canberra,AU,-35.2835,149.1281,76.44,80,68,5.75,broken clouds,2022-01-16 21:55:12
14,Ancud,CL,-41.8697,-73.8203,54.43,52,26,11.45,scattered clouds,2022-01-16 21:56:35
15,Bonavista,CA,48.6499,-53.1147,23.11,77,100,23.15,overcast clouds,2022-01-16 21:54:37
16,Rikitea,PF,-23.1203,-134.9692,77.25,69,35,7.49,scattered clouds,2022-01-16 21:56:35
17,Chuy,UY,-33.6971,-53.4616,77.27,82,99,5.79,overcast clouds,2022-01-16 21:56:36
18,Jamestown,US,42.097,-79.2353,28.71,20,84,11.01,broken clouds,2022-01-16 21:56:36
19,Hilo,US,19.7297,-155.09,80.11,78,1,5.99,clear sky,2022-01-16 21:56:06
20,Iqaluit,CA,63.7506,-68.5145,-25.31,74,75,1.99,broken clouds,2022-01-16 21:56:36
21,Flinders,AU,-34.5833,150.8552,76.37,86,16,4.0,few clouds,2022-01-16 21:48:23
22,Souillac,MU,-20.5167,57.5167,78.37,88,75,5.75,broken clouds,2022-01-16 21:56:37
23,Tasiilaq,GL,65.6145,-37.6368,16.38,94,100,12.77,snow,2022-01-16 21:56:37
24,Goma,CD,-1.6792,29.2228,62.58,91,100,1.81,overcast clouds,2022-01-16 21:56:37
25,Mount Gambier,AU,-37.8333,140.7667,62.51,82,100,10.36,overcast clouds,2022-01-16 21:56:38
26,Dikson,RU,73.5069,80.5464,9.68,91,100,25.19,light snow,2022-01-16 21:56:38
27,Busselton,AU,-33.65,115.3333,53.1,81,1,11.05,clear sky,2022-01-16 21:56:38
28,Port Said,EG,31.2565,32.2841,51.78,82,40,18.41,scattered clouds,2022-01-16 21:56:38
29,Cidreira,BR,-30.1811,-50.2056,77.11,87,100,9.84,light rain,2022-01-16 21:56:39
30,Guarapari,BR,-20.6667,-40.4975,80.49,83,37,10.31,scattered clouds,2022-01-16 21:56:39
31,Carnarvon,AU,-24.8667,113.6333,71.67,88,100,20.71,overcast clouds,2022-01-16 21:56:39
32,Coahuayana,MX,18.7333,-103.6833,84.11,61,57,6.96,broken clouds,2022-01-16 21:56:40
33,Barrow,US,71.2906,-156.7887,-15.83,93,100,6.35,overcast clouds,2022-01-16 21:55:01
34,Tshikapa,CD,-6.4167,20.8,68.92,94,100,2.64,light rain,2022-01-16 21:56:40
35,Mataura,NZ,-46.1927,168.8643,64.49,55,100,2.93,overcast clouds,2022-01-16 21:56:40
36,Thompson,CA,55.7435,-97.8558,-5.64,71,100,9.22,overcast clouds,2022-01-16 21:56:40
