City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Bubaque,GW,78.55,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
4,Vaini,TO,80.11,scattered clouds,-21.2,-175.2,Keleti Beach Resort
7,Butaritari,KI,82.38,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
11,Kroya,ID,76.87,scattered clouds,-7.6331,109.2461,RUSTANTO Fam
12,Puerto Ayora,EC,84.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
13,Canberra,AU,76.44,broken clouds,-35.2835,149.1281,Novotel Canberra
16,Rikitea,PF,77.25,scattered clouds,-23.1203,-134.9692,People ThankYou
17,Chuy,UY,77.27,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
19,Hilo,US,80.11,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
21,Flinders,AU,76.37,few clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
22,Souillac,MU,78.37,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
29,Cidreira,BR,77.11,light rain,-30.1811,-50.2056,Hotel Castelo
30,Guarapari,BR,80.49,scattered clouds,-20.6667,-40.4975,Hotel Porto do Sol
32,Coahuayana,MX,84.11,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
37,Muisne,EC,80.71,overcast clouds,0.6,-80.0333,Quinta Samay
42,Kapaa,US,78.78,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
44,Veinticinco De Mayo,AR,83.98,scattered clouds,-35.4323,-60.1727,Estancia La Rosada
47,Hithadhoo,MV,80.24,overcast clouds,-0.6,73.0833,Scoop Guest House
51,Avarua,CK,84.25,overcast clouds,-21.2078,-159.775,Paradise Inn
54,Saint-Joseph,RE,77.38,overcast clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
59,Bambous Virieux,MU,78.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
60,Dhidhdhoo,MV,81.0,few clouds,6.8833,73.1,Dhidhoo beach
61,Gweta,BW,77.95,overcast clouds,-20.1833,25.2333,Gweta Lodge
63,Arraial Do Cabo,BR,78.76,clear sky,-22.9661,-42.0278,Pousada Porto Praia
70,Ambanja,MG,76.55,overcast clouds,-13.6833,48.45,Hotel Salama and Fast Food
