City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hami,CN,2022-01-15 16:17:36,42.8,93.45,26.29,54,62,2.3
1,Linfen,CN,2022-01-15 16:17:36,36.0889,111.5189,36.66,34,0,0.69
2,Dikson,RU,2022-01-15 16:17:36,73.5069,80.5464,5.65,91,100,28.36
3,Aguilas,ES,2022-01-15 16:13:10,37.4063,-1.5829,61.2,55,2,4.56
4,Upernavik,GL,2022-01-15 16:15:29,72.7868,-56.1549,2.95,80,100,5.06
5,Geraldton,AU,2022-01-15 16:15:22,-28.7667,114.6,70.21,73,75,23.02
6,Thompson,CA,2022-01-15 16:14:06,55.7435,-97.8558,12.36,85,100,8.05
7,Avarua,CK,2022-01-15 16:15:18,-21.2078,-159.775,75.25,88,100,1.14
8,Bathsheba,BB,2022-01-15 16:17:37,13.2167,-59.5167,83.01,78,75,17.27
9,Non Sung,TH,2022-01-15 16:17:37,15.1801,102.2569,79.23,47,69,7.05
10,Hermanus,ZA,2022-01-15 16:16:30,-34.4187,19.2345,78.91,79,86,3.47
11,Zhigansk,RU,2022-01-15 16:17:37,66.7697,123.3711,-44.21,100,55,1.45
12,Ushuaia,AR,2022-01-15 16:10:30,-54.8,-68.3,44.22,96,100,3.49
13,Komsomolskiy,UZ,2022-01-15 16:17:38,40.4272,71.7189,44.02,48,100,6.91
14,Dingle,PH,2022-01-15 16:15:22,10.9995,122.6711,70.81,83,76,8.72
15,Pevek,RU,2022-01-15 16:15:22,69.7008,170.3133,-29.97,100,99,5.64
16,Penukonda,IN,2022-01-15 16:17:38,14.0833,77.5833,73.71,61,24,11.74
17,Sinnamary,GF,2022-01-15 16:17:38,5.3833,-52.95,82.53,73,26,9.57
18,Maneadero,MX,2022-01-15 16:16:33,31.7167,-116.5667,69.19,52,100,5.99
19,Lebu,CL,2022-01-15 16:17:39,-37.6167,-73.65,61.54,71,58,20.89
20,Saskylakh,RU,2022-01-15 16:17:39,71.9167,114.0833,-30.35,97,61,9.95
21,Bengkulu,ID,2022-01-15 16:17:39,-3.8004,102.2655,77.34,87,97,3.49
22,Angra Dos Reis,BR,2022-01-15 16:17:39,-23.0067,-44.3181,82.36,87,100,2.91
23,Sanmenxia,CN,2022-01-15 16:17:40,34.7747,111.1814,39.22,40,44,0.04
24,Timmins,CA,2022-01-15 16:17:40,48.4669,-81.3331,-22.18,76,20,4.61
25,Ginda,IN,2022-01-15 16:17:40,30.6945,78.4932,38.53,39,33,7.65
26,Ribeira Grande,PT,2022-01-15 16:17:40,38.5167,-28.7,54.0,76,40,11.5
27,Bregovo,BG,2022-01-15 16:17:41,44.1517,22.6425,34.39,66,1,14.47
28,Arraial Do Cabo,BR,2022-01-15 16:15:20,-22.9661,-42.0278,85.96,74,75,13.8
29,Vila,PT,2022-01-15 16:17:41,42.0304,-8.1588,46.33,63,73,2.33
30,Carnarvon,AU,2022-01-15 16:15:19,-24.8667,113.6333,73.47,73,75,27.63
31,Albany,US,2022-01-15 16:12:20,42.6001,-73.9662,5.81,58,25,9.93
32,Hobart,AU,2022-01-15 16:13:07,-42.8794,147.3294,64.26,89,100,6.91
33,Bileca,BA,2022-01-15 16:17:42,42.8719,18.4297,49.89,76,0,7.4
34,Tasiilaq,GL,2022-01-15 16:17:42,65.6145,-37.6368,12.36,51,0,14.83
35,Port Elizabeth,ZA,2022-01-15 16:17:42,-33.918,25.5701,91.09,78,0,11.5
36,Labuhan,ID,2022-01-15 16:17:42,-6.8844,112.2051,79.16,85,100,5.93
37,Mende,FR,2022-01-15 16:17:43,44.6667,3.5,31.62,87,81,1.25
38,Buraydah,SA,2022-01-15 16:16:32,26.326,43.975,59.45,35,0,6.82
39,Colares,PT,2022-01-15 16:17:43,38.7992,-9.4469,59.79,65,20,1.99
40,Mishan,CN,2022-01-15 16:17:43,45.55,131.8833,6.15,96,100,1.05
41,Sabang,ID,2022-01-15 16:17:43,5.8933,95.3214,81.45,74,14,18.77
42,Yellowknife,CA,2022-01-15 16:17:44,62.456,-114.3525,-5.58,79,75,11.5
43,Vaini,TO,2022-01-15 16:17:44,-21.2,-175.2,79.95,77,5,5.61
44,Punta Arenas,CL,2022-01-15 16:15:18,-53.15,-70.9167,53.11,46,100,12.62
45,Bergen,NO,2022-01-15 16:17:44,60.392,5.328,41.14,94,100,14.97
46,Oussouye,SN,2022-01-15 16:17:45,12.485,-16.5469,96.98,22,95,7.52
47,Mahebourg,MU,2022-01-15 16:15:24,-20.4081,57.7,82.69,74,75,6.91
48,Olafsvik,IS,2022-01-15 16:18:45,64.8945,-23.7142,35.02,59,99,29.01
49,Qaqortoq,GL,2022-01-15 16:18:45,60.7167,-46.0333,25.3,91,100,14.67
50,Kaitangata,NZ,2022-01-15 16:16:37,-46.2817,169.8464,51.53,96,30,3.09
51,Vagur,FO,2022-01-15 16:18:46,61.4732,-6.8119,46.89,89,100,34.18
52,Longyearbyen,SJ,2022-01-15 16:18:46,78.2186,15.6401,4.84,66,40,13.8
53,New Norfolk,AU,2022-01-15 16:18:46,-42.7826,147.0587,63.9,77,40,2.04
54,Barrow,US,2022-01-15 16:15:26,71.2906,-156.7887,-16.58,76,40,5.75
55,Rikitea,PF,2022-01-15 16:15:20,-23.1203,-134.9692,77.13,76,100,14.7
56,Abu Dhabi,AE,2022-01-15 16:18:02,24.4667,54.3667,77.11,44,44,5.75
57,Atuona,PF,2022-01-15 16:18:47,-9.8,-139.0333,74.71,88,100,16.44
58,Gardner,US,2022-01-15 16:13:47,42.5751,-71.9981,9.19,38,0,1.99
59,Chokurdakh,RU,2022-01-15 16:18:47,70.6333,147.9167,-24.38,96,100,2.66
60,Huarmey,PE,2022-01-15 16:18:47,-10.0681,-78.1522,74.95,76,51,8.01
61,Berlevag,NO,2022-01-15 16:18:48,70.8578,29.0864,23.0,92,99,20.78
62,Mount Isa,AU,2022-01-15 16:16:39,-20.7333,139.5,91.17,33,52,11.5
63,Busselton,AU,2022-01-15 16:15:20,-33.65,115.3333,61.09,86,7,8.79
64,Gat,IL,2022-01-15 16:18:02,31.61,34.7642,52.39,100,68,10.98
65,East London,ZA,2022-01-15 16:18:48,-33.0153,27.9116,77.94,88,20,14.97
66,Gravdal,NO,2022-01-15 16:18:48,68.1214,13.5031,39.09,93,75,6.91
67,Killybegs,IE,2022-01-15 16:18:49,54.6333,-8.45,44.46,82,100,6.04
68,Terra Santa,BR,2022-01-15 16:18:49,-2.1042,-56.4869,93.45,42,59,5.59
69,Cimahi,ID,2022-01-15 16:18:49,-6.8722,107.5425,69.21,91,100,2.19
70,Norman Wells,CA,2022-01-15 16:18:49,65.282,-126.8329,-7.56,77,100,11.5
71,Port Hedland,AU,2022-01-15 16:18:50,-20.3167,118.5667,84.25,84,100,6.91
72,Zelenogorskiy,RU,2022-01-15 16:18:50,55.0333,87.0,18.12,94,77,4.45
73,San Patricio,US,2022-01-15 16:15:18,28.017,-97.5169,57.29,27,97,24.16
74,College,US,2022-01-15 16:18:50,64.8569,-147.8028,-4.92,82,75,0.0
75,Tuktoyaktuk,CA,2022-01-15 16:15:21,69.4541,-133.0374,-27.4,68,75,0.0
76,Homer,US,2022-01-15 16:18:51,59.6425,-151.5483,36.77,93,100,0.0
77,Mataura,NZ,2022-01-15 16:15:21,-46.1927,168.8643,54.48,95,2,2.17
78,Ancud,CL,2022-01-15 16:18:51,-41.8697,-73.8203,62.42,61,94,8.32
79,Livingstone,ZM,2022-01-15 16:18:51,-17.8419,25.8543,75.7,70,58,5.44
80,Boone,US,2022-01-15 16:18:51,39.0334,-92.3335,35.26,98,100,5.99
81,Port Alfred,ZA,2022-01-15 16:15:27,-33.5906,26.891,73.74,82,100,12.26
82,Kaili,ID,2022-01-15 16:18:52,-3.4626,120.2147,67.48,95,100,1.59
83,Laguna,US,2022-01-15 16:18:52,38.421,-121.4238,53.24,99,100,3.44
84,Pangnirtung,CA,2022-01-15 16:18:52,66.1451,-65.7125,-22.0,76,20,0.0
85,Bubaque,GW,2022-01-15 16:16:30,11.2833,-15.8333,79.11,49,98,8.37
86,Turukhansk,RU,2022-01-15 16:18:53,65.8167,87.9833,6.08,71,100,13.76
87,Pochutla,MX,2022-01-15 16:18:53,15.7432,-96.4661,81.82,50,0,6.22
88,Catalao,BR,2022-01-15 16:18:53,-18.1658,-47.9464,80.31,52,93,8.52
89,Airai,TL,2022-01-15 16:15:23,-8.9266,125.4092,61.77,92,90,3.91
90,Saint-Philippe,RE,2022-01-15 16:18:54,-21.3585,55.7679,81.99,85,100,3.04
91,Pacific Grove,US,2022-01-15 16:15:52,36.6177,-121.9166,57.42,62,0,5.75
92,Salalah,OM,2022-01-15 16:18:54,17.0151,54.0924,75.29,60,0,4.61
93,Kruisfontein,ZA,2022-01-15 16:19:54,-34.0033,24.7314,88.88,32,99,13.82
94,Puerto Carreno,CO,2022-01-15 16:19:55,6.189,-67.4859,90.59,42,99,7.85
95,Gorontalo,ID,2022-01-15 16:19:55,0.5412,123.0595,74.61,92,100,4.05
96,Quelimane,MZ,2022-01-15 16:19:55,-17.8786,36.8883,78.48,84,99,4.81
97,Dalvik,IS,2022-01-15 16:16:20,65.9702,-18.5286,28.33,84,55,11.03
98,Mehran,IR,2022-01-15 16:19:56,33.1222,46.1646,53.08,66,73,2.15
99,Burns Lake,CA,2022-01-15 16:15:11,54.2331,-125.7533,34.5,65,1,12.24
100,Korla,CN,2022-01-15 16:19:56,41.7597,86.1469,24.04,54,3,1.45
101,Torbay,CA,2022-01-15 16:19:56,47.6666,-52.7314,49.28,97,100,42.57
102,Chuy,UY,2022-01-15 16:16:36,-33.6971,-53.4616,99.28,32,9,8.21
103,Havoysund,NO,2022-01-15 16:19:56,70.9963,24.6622,25.68,90,100,11.3
104,Ust-Nera,RU,2022-01-15 16:19:57,64.5667,143.2,-28.21,86,80,1.36
105,Udachnyy,RU,2022-01-15 16:19:57,66.4167,112.4,-37.55,72,53,3.6
106,Jamestown,US,2022-01-15 16:11:55,42.097,-79.2353,9.52,50,0,5.99
107,Provideniya,RU,2022-01-15 16:19:57,64.3833,-173.3,-6.54,90,2,6.08
108,Georgetown,MY,2022-01-15 16:17:33,5.4112,100.3354,82.33,75,20,1.01
109,Stornoway,GB,2022-01-15 16:19:58,58.2093,-6.3865,44.92,87,100,4.0
110,Kampene,CD,2022-01-15 16:19:58,-3.6,26.6667,73.58,87,97,2.91
111,Hambantota,LK,2022-01-15 16:19:58,6.1241,81.1185,77.95,85,30,12.95
112,Severo-Kurilsk,RU,2022-01-15 16:19:59,50.6789,156.125,29.46,73,97,24.85
113,Eyl,SO,2022-01-15 16:19:59,7.9803,49.8164,75.9,68,90,15.93
114,Melfi,IT,2022-01-15 16:19:59,40.9965,15.6514,50.49,84,0,2.86
115,Bredasdorp,ZA,2022-01-15 16:19:59,-34.5322,20.0403,76.32,61,98,10.36
116,Sao Filipe,CV,2022-01-15 16:15:19,14.8961,-24.4956,72.39,67,96,10.83
117,Te Anau,NZ,2022-01-15 16:20:00,-45.4167,167.7167,51.28,92,9,0.78
118,San Policarpo,PH,2022-01-15 16:20:00,12.1791,125.5072,77.23,81,97,18.45
119,Deder,ET,2022-01-15 16:20:01,9.3167,41.45,64.96,47,91,5.48
120,Vardo,NO,2022-01-15 16:20:01,70.3705,31.1107,12.4,71,99,16.67
121,Bristol,US,2022-01-15 16:20:02,41.8334,-71.1662,16.41,37,0,4.0
122,Mount Gambier,AU,2022-01-15 16:20:03,-37.8333,140.7667,54.72,97,14,4.09
123,Lata,PT,2022-01-15 16:20:04,40.1629,-8.3327,58.05,52,47,5.3
124,Vostok,RU,2022-01-15 16:20:04,46.4856,135.8833,-1.35,98,100,3.6
125,Fomboni,KM,2022-01-15 16:20:04,-12.28,43.7425,84.51,70,74,9.78
126,Constitucion,CL,2022-01-15 16:16:25,-35.3333,-72.4167,69.28,69,70,11.45
127,Puerto Ayora,EC,2022-01-15 16:20:05,-0.7393,-90.3518,82.36,77,61,7.36
128,Castro,BR,2022-01-15 16:15:25,-24.7911,-50.0119,79.03,67,96,3.91
129,Asekeyevo,RU,2022-01-15 16:20:05,53.5742,52.7972,19.96,95,100,13.56
130,Qaanaaq,GL,2022-01-15 16:20:05,77.484,-69.3632,-9.42,75,88,6.73
131,Mhango,TZ,2022-01-15 16:20:06,-3.2833,32.85,69.73,78,81,5.79
132,Privodino,RU,2022-01-15 16:19:02,61.0781,46.5044,13.01,97,95,2.42
133,Klaksvik,FO,2022-01-15 16:20:06,62.2266,-6.589,47.32,89,100,31.14
134,Beyneu,KZ,2022-01-15 16:20:06,45.3167,55.2,32.31,80,100,9.19
135,Lavrentiya,RU,2022-01-15 16:15:28,65.5833,-171.0,-13.29,93,33,7.56
136,Mapiripan,CO,2022-01-15 16:20:06,2.8892,-72.1256,94.14,33,75,8.7
137,Kapaa,US,2022-01-15 16:15:25,22.0752,-159.319,69.78,100,0,10.36
138,Voineasa,RO,2022-01-15 16:20:07,44.2833,24.1333,39.42,33,0,6.91
139,Asosa,ET,2022-01-15 16:20:07,10.0667,34.5333,78.28,24,73,2.35
140,Cherskiy,RU,2022-01-15 16:20:07,68.75,161.3,-38.07,97,29,3.09
141,Pingliang,CN,2022-01-15 16:21:08,35.5392,106.6861,32.76,46,95,3.29
142,Port Macquarie,AU,2022-01-15 16:21:08,-31.4333,152.9167,67.96,93,63,10.63
143,Hithadhoo,MV,2022-01-15 16:16:41,-0.6,73.0833,83.93,70,100,13.0
144,San Juan,AR,2022-01-15 16:18:22,-31.5375,-68.5364,99.07,15,88,12.71
145,Zavitinsk,RU,2022-01-15 16:21:08,50.1167,129.45,1.71,97,100,5.66
146,Esperance,AU,2022-01-15 16:21:09,-33.8667,121.9,63.05,79,1,1.28
147,Vanimo,PG,2022-01-15 16:21:09,-2.6741,141.3028,78.46,87,94,6.4
148,Cape Town,ZA,2022-01-15 16:13:39,-33.9258,18.4232,80.11,72,84,8.23
149,Tuatapere,NZ,2022-01-15 16:16:32,-46.1333,167.6833,54.82,88,0,4.16
150,Belmonte,BR,2022-01-15 16:21:09,-15.8631,-38.8828,84.7,63,30,7.7
151,Alofi,NU,2022-01-15 16:21:09,-19.0595,-169.9187,76.89,94,100,3.44
152,Mangai,CD,2022-01-15 16:21:10,-4.05,19.5333,75.42,92,99,2.37
153,Rorvik,NO,2022-01-15 16:21:10,64.8621,11.2373,43.65,91,100,33.91
154,Ottawa,CA,2022-01-15 16:20:15,45.4112,-75.6981,-3.71,57,0,1.01
155,Cozumel,MX,2022-01-15 16:21:10,20.5083,-86.9458,80.94,67,20,3.0
156,Victoria,HK,2022-01-15 16:17:05,22.2855,114.1577,66.38,87,56,8.99
157,Ierapetra,GR,2022-01-15 16:21:11,35.01,25.7353,57.38,61,1,18.01
158,Krasnoarmeysk,RU,2022-01-15 16:21:11,51.0239,45.6969,21.29,88,100,17.09
159,Bousse,BF,2022-01-15 16:21:11,12.6606,-1.8922,91.54,10,6,16.28
160,Grindavik,IS,2022-01-15 16:21:11,63.8424,-22.4338,34.27,60,75,23.02
161,Aklavik,CA,2022-01-15 16:21:12,68.2191,-135.0107,-25.6,75,40,4.61
162,Yeniseysk,RU,2022-01-15 16:21:12,58.4497,92.1703,4.93,84,99,9.53
163,Bambous Virieux,MU,2022-01-15 16:16:33,-20.3428,57.7575,82.65,74,75,6.91
164,Hammond,US,2022-01-15 16:19:20,41.5834,-87.5,24.98,74,75,8.01
165,Ilulissat,GL,2022-01-15 16:15:26,69.2167,-51.1,8.62,61,20,24.16
166,Chiredzi,ZW,2022-01-15 16:21:12,-21.05,31.6667,87.78,35,66,5.12
167,Tam Ky,VN,2022-01-15 16:21:13,15.5667,108.4833,69.78,88,54,4.72
168,Irtyshskiy,RU,2022-01-15 16:21:13,58.3333,68.1333,7.86,98,93,6.08
169,Faya,SA,2022-01-15 16:16:37,18.3851,42.4509,59.11,70,17,9.13
170,Cayenne,GF,2022-01-15 16:21:13,4.9333,-52.3333,87.84,84,20,3.0
171,Hilo,US,2022-01-15 16:15:00,19.7297,-155.09,69.24,72,20,8.05
172,Volot,RU,2022-01-15 16:21:14,57.9278,30.7025,28.11,91,54,10.92
173,Srednekolymsk,RU,2022-01-15 16:21:14,67.45,153.6833,-33.83,99,84,3.04
174,Chimore,BO,2022-01-15 16:21:14,-16.9833,-65.1333,85.8,60,33,4.23
175,Cidreira,BR,2022-01-15 16:16:30,-30.1811,-50.2056,86.09,60,4,9.73
176,Takoradi,GH,2022-01-15 16:21:15,4.8845,-1.7554,83.62,70,100,13.38
177,Zhengjiatun,CN,2022-01-15 16:21:15,43.5064,123.5064,2.82,81,8,9.86
178,Batagay,RU,2022-01-15 16:21:15,67.6333,134.6333,-33.88,99,98,1.57
179,Bairiki,KI,2022-01-15 16:21:15,1.3292,172.9752,80.6,94,75,5.75
180,Harlingen,US,2022-01-15 16:19:25,26.1906,-97.6961,62.56,44,100,28.77
181,Saint George,US,2022-01-15 16:13:44,37.1041,-113.5841,43.36,63,0,3.44
182,Itoman,JP,2022-01-15 16:21:16,26.1247,127.6694,62.62,72,100,6.91
183,Pandaria,IN,2022-01-15 16:21:16,22.2333,81.4167,62.44,71,42,4.36
184,Izumo,JP,2022-01-15 16:21:16,35.3667,132.7667,33.75,74,72,8.1
185,Necochea,AR,2022-01-15 16:21:17,-38.5473,-58.7368,95.04,31,0,12.64
186,Saldanha,ZA,2022-01-15 16:21:17,-33.0117,17.9442,78.85,81,59,10.09
187,Biak,ID,2022-01-15 16:21:17,-0.9131,122.8766,76.78,80,72,6.15
188,Itarema,BR,2022-01-15 16:21:17,-2.9248,-39.9167,86.85,58,25,11.56
189,Narsaq,GL,2022-01-15 16:22:18,60.9167,-46.05,25.02,93,100,12.15
190,Fortuna,US,2022-01-15 16:22:18,40.5982,-124.1573,41.67,93,0,12.66
191,Hoshcha,UA,2022-01-15 16:22:18,50.6003,26.6744,31.89,77,99,16.51
192,Roald,NO,2022-01-15 16:22:18,62.5833,6.1333,43.32,81,75,13.8
193,Kavaratti,IN,2022-01-15 16:22:19,10.5669,72.642,80.22,68,91,9.26
194,Davila,PH,2022-01-15 16:22:19,18.4726,120.5763,72.68,74,21,9.26
195,Khatanga,RU,2022-01-15 16:15:24,71.9667,102.5,-8.59,94,100,6.76
196,Pringsewu,ID,2022-01-15 16:22:19,-5.3582,104.9744,74.91,94,100,1.14
197,Wagar,SD,2022-01-15 16:22:20,16.1525,36.2032,87.35,32,16,7.47
198,Plouzane,FR,2022-01-15 16:22:20,48.3833,-4.6167,48.25,93,100,10.36
199,Souillac,MU,2022-01-15 16:15:28,-20.5167,57.5167,82.78,74,75,6.91
200,Yar-Sale,RU,2022-01-15 16:16:35,66.8333,70.8333,9.25,95,100,11.12
201,San Andres,CO,2022-01-15 16:20:05,12.5847,-81.7006,84.22,61,20,11.5
202,Yatou,CN,2022-01-15 16:22:21,37.15,122.3833,30.24,58,15,16.71
203,Raton,US,2022-01-15 16:22:21,36.9034,-104.4391,38.64,54,0,3.44
204,Mar Del Plata,AR,2022-01-15 16:22:21,-38.0023,-57.5575,81.0,74,0,8.99
205,Shinyanga,TZ,2022-01-15 16:22:22,-3.6667,33.4333,75.11,62,69,3.91
206,Nanortalik,GL,2022-01-15 16:22:22,60.1432,-45.2371,26.11,92,100,12.68
207,Acapulco,MX,2022-01-15 16:16:36,16.8634,-99.8901,78.62,69,100,0.0
208,Avera,US,2022-01-15 16:22:22,33.194,-82.5271,48.38,67,100,7.27
209,Mitu,CO,2022-01-15 16:22:23,1.1983,-70.1733,84.58,64,93,3.29
210,Salme,NP,2022-01-15 16:22:23,28.0369,85.0942,44.89,44,0,6.71
211,Antofagasta,CL,2022-01-15 16:22:23,-23.65,-70.4,75.22,61,50,8.46
212,Touros,BR,2022-01-15 16:22:24,-5.1989,-35.4608,81.5,57,40,11.65
213,Mogadishu,SO,2022-01-15 16:18:46,2.0371,45.3438,78.62,78,60,19.53
214,Hasaki,JP,2022-01-15 16:22:24,35.7333,140.8333,30.6,56,100,3.31
215,Sao Joao Da Barra,BR,2022-01-15 16:22:24,-21.6403,-41.0511,84.29,75,65,5.99
216,Tigil,RU,2022-01-15 16:22:25,57.8,158.6667,-10.41,99,28,1.9
217,Aquiraz,BR,2022-01-15 16:22:25,-3.9014,-38.3911,84.22,91,70,9.51
218,Haines Junction,CA,2022-01-15 16:22:25,60.7522,-137.5108,22.95,93,100,1.14
219,Arman,RU,2022-01-15 16:22:26,59.7,150.1667,-4.86,80,0,9.62
